,train_acc,train_loss
0,41.666666666666664,1.0935894846916199
1,66.66666666666667,1.041515310605367
2,55.0,1.0341418782869976
3,65.0,1.0107088088989258
4,78.33333333333333,0.9470549623171488
5,83.33333333333333,0.8750724693139394
6,93.33333333333333,0.8807702362537384
7,91.66666666666667,0.8213985363642374
8,91.66666666666667,0.690261960029602
9,96.66666666666667,0.7180590828259786
10,96.66666666666667,0.6664639612038931
11,93.33333333333333,0.5836620529492696
12,93.33333333333333,0.5511515835920969
13,96.66666666666667,0.5060737530390421
14,96.66666666666667,0.4939236765106519
