,train_loss,train_acc,test_loss,test_acc
0,0.6101127148071925,77.61,0.39660705078524144,85.40335463258786
1,0.35841904865900676,86.97,0.34547281648499517,87.69968051118211
2,0.322044794356823,88.34833333333333,0.3303481062023213,88.28873801916933
3,0.3023678268949191,89.06666666666666,0.3144556705277568,88.7979233226837
4,0.28846684816479684,89.62,0.3024326605252184,89.39696485623003
5,0.27895588719844816,89.905,0.29910642860796505,89.30710862619809
6,0.27093825047214826,90.17166666666667,0.29470485884446307,89.22723642172524
7,0.2668454564978679,90.25833333333334,0.29088734192684434,89.76637380191693
8,0.26406057748397194,90.39666666666666,0.2888859775833809,89.63658146964856
9,0.2573381205757459,90.57333333333334,0.29559077412937396,89.74640575079871
10,0.2539488513097167,90.705,0.2914276999739793,89.71645367412141
11,0.2494166185369094,90.92,0.2928479517253634,89.37699680511182
